date;day_text;note;label;phase;season;season_number;season_total;days
2021-01-06;;;;waning;;0;0;0
2021-01-13;;;;new;;0;0;0
2021-01-20;;;;waxing;;0;0;0
2021-01-28;;;;full;;0;0;0
2021-02-04;;;;waning;;0;0;0
2021-02-11;;;;new;;0;0;0
2021-02-19;;;;waxing;;0;0;0
2021-02-27;;;;full;;0;0;0
2021-03-06;;;;waning;;0;0;0
2021-03-13;;;;new;;0;0;0
2021-03-21;;;;waxing;;0;0;0
2021-03-28;;;;full;;0;0;0
2021-04-04;;;;waning;;0;0;0
2021-04-12;;;;new;;0;0;0
2021-04-20;;;;waxing;;0;0;0
2021-04-27;;;;full;;0;0;0
2021-05-03;;;;waning;;0;0;0
2021-05-11;;;;new;;0;0;0
2021-05-19;;;;waxing;;0;0;0
2021-05-26;;;;full;;0;0;0
2021-06-02;;;;waning;;0;0;0
2021-06-10;;;;new;;0;0;0
2021-06-18;;;;waxing;;0;0;0
2021-06-24;;;;full;;0;0;0
2021-07-01;;;;waning;;0;0;0
2021-07-10;;;;new;;0;0;0
2021-07-17;;;;waxing;;0;0;0
2021-07-24;;;;full;;0;0;0
2021-07-31;;;;waning;;0;0;0
2021-08-08;;;;new;;0;0;0
2021-08-15;;;;waxing;;0;0;0
2021-08-22;;;;full;;0;0;0
2021-08-30;;;;waning;;0;0;0
2021-09-07;;;;new;;0;0;0
2021-09-13;;;;waxing;;0;0;0
2021-09-20;;;;full;;0;0;0
2021-09-29;;;;waning;;0;0;0
2021-10-06;;;;new;;0;0;0
2021-10-13;;;;waxing;;0;0;0
2021-10-20;;;;full;;0;0;0
2021-10-28;;;;waning;;0;0;0
2021-11-04;;;;new;;0;0;0
2021-11-11;;;;waxing;;0;0;0
2021-11-19;;;;full;;0;0;0
2021-11-27;;;;waning;;0;0;0
2021-12-04;;;;new;;0;0;0
2021-12-11;;;;waxing;;0;0;0
2021-12-19;;;;full;;0;0;0
2021-12-27;;;;waning;;0;0;0
