date;day_text;note;label;phase;season;season_number;season_total;days
2024-01-04;\LastQuarter;;;waning;\x;0;0;0
2024-01-10;\NewMoon;;;new;\xHemanta;3;8;14
2024-01-16;;\xAjahnChahMemorialDay;aj-chah-memorial;;;0;0;0
2024-01-18;\FirstQuarter;;;waxing;\x;0;0;0
2024-01-25;\FullMoon;;;full;\xHemanta;4;8;15
2024-02-02;\LastQuarter;;;waning;\x;0;0;0
2024-02-09;\NewMoon;;;new;\xHemanta;5;8;15
2024-02-17;\FirstQuarter;;;waxing;\x;0;0;0
2024-02-24;\FullMoon;;magha;full;\xHemanta;6;8;15
2024-02-24;\FullMoon;\xMaghaPuja;magha;;;0;0;0
2024-03-03;\LastQuarter;;;waning;\x;0;0;0
2024-03-09;\NewMoon;;;new;\xHemanta;7;8;14
2024-03-17;\FirstQuarter;;;waxing;\x;0;0;0
2024-03-24;\FullMoon;;;full;\xHemanta;8;8;15
2024-04-01;\LastQuarter;;;waning;\x;0;0;0
2024-04-08;\NewMoon;;;new;\xGimha;1;8;15
2024-04-13;;\xThaiNewYear;thai-new-year;;;0;0;0
2024-04-16;\FirstQuarter;;;waxing;\x;0;0;0
2024-04-23;\FullMoon;;;full;\xGimha;2;8;15
2024-05-01;\LastQuarter;;;waning;\x;0;0;0
2024-05-07;\NewMoon;;;new;\xGimha;3;8;14
2024-05-15;\FirstQuarter;;;waxing;\x;0;0;0
2024-05-22;\FullMoon;;vesakha;full;\xGimha;4;8;15
2024-05-22;\FullMoon;\xVesakhaPuja;vesakha;;;0;0;0
2024-05-30;\LastQuarter;;;waning;\x;0;0;0
2024-06-06;\NewMoon;;;new;\xGimha;5;8;15
2024-06-14;\FirstQuarter;;;waxing;\x;0;0;0
2024-06-17;;\xAjahnChahBirthDay;aj-chah-birthday;;;0;0;0
2024-06-21;\FullMoon;;;full;\xGimha;6;8;15
2024-06-29;\LastQuarter;;;waning;\x;0;0;0
2024-07-05;\NewMoon;;;new;\xGimha;7;8;14
2024-07-13;\FirstQuarter;;;waxing;\x;0;0;0
2024-07-20;\FullMoon;;asalha;full;\xGimha;8;8;15
2024-07-20;\FullMoon;\xAsalhaPuja;asalha;;;0;0;0
2024-07-21;;\xFirstDayOfVassa;first-day;;;0;0;0
2024-07-28;\LastQuarter;;;waning;\x;0;0;0
2024-08-04;\NewMoon;;;new;\xVassana;1;8;15
2024-08-12;\FirstQuarter;;;waxing;\x;0;0;0
2024-08-19;\FullMoon;;;full;\xVassana;2;8;15
2024-08-27;\LastQuarter;;;waning;\x;0;0;0
2024-09-02;\NewMoon;;;new;\xVassana;3;8;14
2024-09-10;\FirstQuarter;;;waxing;\x;0;0;0
2024-09-17;\FullMoon;;;full;\xVassana;4;8;15
2024-09-25;\LastQuarter;;;waning;\x;0;0;0
2024-10-02;\NewMoon;;;new;\xVassana;5;8;15
2024-10-10;\FirstQuarter;;;waxing;\x;0;0;0
2024-10-17;\FullMoon;;pavarana;full;\xVassana;6;8;15
2024-10-17;\FullMoon;\xPavarana;pavarana;;;0;0;0
2024-10-17;\FullMoon;\xLastDayOfVassa;last-day;;;0;0;0
2024-10-25;\LastQuarter;;;waning;\x;0;0;0
2024-10-31;\NewMoon;;;new;\xVassana;7;8;14
2024-11-08;\FirstQuarter;;;waxing;\x;0;0;0
2024-11-15;\FullMoon;;;full;\xVassana;8;8;15
2024-11-23;\LastQuarter;;;waning;\x;0;0;0
2024-11-30;\NewMoon;;;new;\xHemanta;1;8;15
2024-12-08;\FirstQuarter;;;waxing;\x;0;0;0
2024-12-15;\FullMoon;;;full;\xHemanta;2;8;15
2024-12-23;\LastQuarter;;;waning;\x;0;0;0
2024-12-29;\NewMoon;;;new;\xHemanta;3;8;14
