date;day_text;footnote;label;phase;season;season_number;season_total;days
2029-01-07;\LastQuarter;;;waning;\x;0;0;0
2029-01-14;\NewMoon;;;new;\xHemanta;5;8;15
2029-01-16;;\xAjahnChahMemorialDay;aj-chah-memorial;;;0;0;0
2029-01-22;\FirstQuarter;;;waxing;\x;0;0;0
2029-01-29;\FullMoon;;;full;\xHemanta;6;8;15
2029-02-06;\LastQuarter;;;waning;\x;0;0;0
2029-02-12;\NewMoon;;;new;\xHemanta;7;8;14
2029-02-20;\FirstQuarter;;;waxing;\x;0;0;0
2029-02-27;\FullMoon;;magha;full;\xHemanta;8;8;15
2029-02-27;\FullMoon;\xMaghaPuja;magha;;;0;0;0
2029-03-07;\LastQuarter;;;waning;\x;0;0;0
2029-03-14;\NewMoon;;;new;\xGimha;1;10;15
2029-03-22;\FirstQuarter;;;waxing;\x;0;0;0
2029-03-29;\FullMoon;;;full;\xGimha;2;10;15
2029-04-06;\LastQuarter;;;waning;\x;0;0;0
2029-04-12;\NewMoon;;;new;\xGimha;3;10;14
2029-04-13;;\xThaiNewYear;thai-new-year;;;0;0;0
2029-04-20;\FirstQuarter;;;waxing;\x;0;0;0
2029-04-27;\FullMoon;;;full;\xGimha;4;10;15
2029-05-05;\LastQuarter;;;waning;\x;0;0;0
2029-05-12;\NewMoon;;;new;\xGimha;5;10;15
2029-05-20;\FirstQuarter;;;waxing;\x;0;0;0
2029-05-27;\FullMoon;;vesakha;full;\xGimha;6;10;15
2029-05-27;\FullMoon;\xVesakhaPuja;vesakha;;;0;0;0
2029-06-04;\LastQuarter;;;waning;\x;0;0;0
2029-06-10;\NewMoon;;;new;\xGimha;7;10;14
2029-06-17;;\xAjahnChahBirthDay;aj-chah-birthday;;;0;0;0
2029-06-18;\FirstQuarter;;;waxing;\x;0;0;0
2029-06-25;\FullMoon;;;full;\xGimha;8;10;15
2029-07-03;\LastQuarter;;;waning;\x;0;0;0
2029-07-10;\NewMoon;;;new;\xGimha;9;10;15
2029-07-18;\FirstQuarter;;;waxing;\x;0;0;0
2029-07-25;\FullMoon;;asalha;full;\xGimha;10;10;15
2029-07-25;\FullMoon;\xAsalhaPuja;asalha;;;0;0;0
2029-07-26;;\xFirstDayOfVassa;first-day;;;0;0;0
2029-08-02;\LastQuarter;;;waning;\x;0;0;0
2029-08-09;\NewMoon;;;new;\xVassana;1;8;15
2029-08-17;\FirstQuarter;;;waxing;\x;0;0;0
2029-08-24;\FullMoon;;;full;\xVassana;2;8;15
2029-09-01;\LastQuarter;;;waning;\x;0;0;0
2029-09-07;\NewMoon;;;new;\xVassana;3;8;14
2029-09-15;\FirstQuarter;;;waxing;\x;0;0;0
2029-09-22;\FullMoon;;;full;\xVassana;4;8;15
2029-09-30;\LastQuarter;;;waning;\x;0;0;0
2029-10-07;\NewMoon;;;new;\xVassana;5;8;15
2029-10-15;\FirstQuarter;;;waxing;\x;0;0;0
2029-10-22;\FullMoon;;pavarana;full;\xVassana;6;8;15
2029-10-22;\FullMoon;\xPavarana;pavarana;;;0;0;0
2029-10-22;\FullMoon;\xLastDayOfVassa;last-day;;;0;0;0
2029-10-30;\LastQuarter;;;waning;\x;0;0;0
2029-11-05;\NewMoon;;;new;\xVassana;7;8;14
2029-11-13;\FirstQuarter;;;waxing;\x;0;0;0
2029-11-20;\FullMoon;;;full;\xVassana;8;8;15
2029-11-28;\LastQuarter;;;waning;\x;0;0;0
2029-12-05;\NewMoon;;;new;\xHemanta;1;8;15
2029-12-13;\FirstQuarter;;;waxing;\x;0;0;0
2029-12-20;\FullMoon;;;full;\xHemanta;2;8;15
2029-12-28;\LastQuarter;;;waning;\x;0;0;0
